companyname,address,location
Aurum E-Serve LLP,"A-23, Sector 105, Noida",Noida
Cogent E Services Private Limited,"C-100, Sector 63 Noida - 201301,India",Noida
Orion Call Source LLP,"A-7, Sector-105, Noida, India",Meerut
Cogent E Services Private Limited,"3rd/4th Floor Appex Tower 1/1,Mangal Pandey Nagar, Meerut -250001,India",Meerut
Cogent E Services Private Limited,"Kalpataru Prime, Unit 3 & 4, Level 4, Road No.16, Wagle Industrial Estate, Thane (W), Thane - 400604",Mumbai
Cogent E Services Private Limited,"IIIrd Floor , JJ Mall ,Ayub Khan Chawraha,Civil Lines, Bareilly - 243001",Bareilly
Cogent E Services Private Limited,"Zenith Tins Compound, Channi,Vadodara -391740,India",Vadodara
Cogent E Services Private Limited,"Gopalan Enterprises Milenium Tower # 133 ITPL Main Road ,Kundanahalli, Bangalore, Karnataka 560037,India",Bangalore
Cogent E Services Private Limited,"Gopalan Enterprises Milenium Tower # 133 ITPL Main Road ,Kundanahalli, Bangalore, Karnataka 560037,India",Bangalore
Cogent E Services Private Limited,"1st Floor Raj Tower, Milagres, Mangalore- 575001,India",Mangalore
Cogent E Services Private Limited,"Gopalan Enterprises Milenium Tower # 133 ITPL Main Road ,Kundanahalli, Bangalore, Karnataka 560037,India",Bangalore
